StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/04/30 02:20:41.604275,0.047647,tcp,45.146.164.243,49378,   ->,159.65.26.180,7493,SR_RA,0,0,3,166,112,2
2021/04/30 02:20:51.129584,0.701684,tcp,189.79.183.227,62693,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:20:54.320342,0.000027,tcp,99.36.250.246,27965,   ->,159.65.26.180,5555,S_RA,0,0,2,110,56,1
2021/04/30 02:21:21.165511,0.701459,tcp,109.226.199.41,62814,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:21:31.946142,0.000032,udp,193.46.255.84,5166,   ->,159.65.26.180,5060,INT,0,,1,455,455,1
2021/04/30 02:21:52.653475,0.011421,tcp,92.63.197.53,56750,   ->,159.65.26.180,5382,SR_RA,0,0,3,166,112,2
2021/04/30 02:21:58.732339,0.048980,tcp,45.146.164.243,49378,   ->,159.65.26.180,5914,SR_RA,0,0,3,166,112,2
2021/04/30 02:22:02.525648,0.000027,tcp,122.228.19.81,8046,   ->,159.65.26.180,51684,S_RA,0,0,2,112,58,1
2021/04/30 02:22:12.307549,1.215404,tcp,62.105.24.208,62975,   ->,159.65.26.180,445,S_RA,0,0,6,356,194,3
2021/04/30 02:22:15.130688,0.052940,tcp,45.143.200.34,55710,   ->,159.65.26.180,10941,SR_RA,0,0,3,166,112,2
2021/04/30 02:22:33.222781,0.670255,tcp,87.225.88.139,59712,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:22:43.685921,0.000030,udp,146.88.240.4,43324,   ->,159.65.26.180,47808,INT,0,,1,59,59,1
2021/04/30 02:23:00.559024,0.000030,tcp,46.148.21.60,60000,   ->,159.65.26.180,2305,S_RA,40,40,2,110,56,1
2021/04/30 02:23:05.085310,0.051218,tcp,195.54.160.228,54157,   ->,159.65.26.180,4389,SR_RA,0,0,3,166,112,2
2021/04/30 02:23:38.461441,0.041528,tcp,89.248.165.201,40400,   ->,159.65.26.180,39532,SR_RA,0,0,3,166,112,2
